PLAYER_NAME,MIN,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,USG_PCT,MINUTES_5GAME_AVG,POINTS_5GAME_AVG,REBOUNDS_5GAME_AVG,ASSISTS_5GAME_AVG,STEALS_5GAME_AVG,BLOCKS_5GAME_AVG,OPP_TEAM,COURT,BTB,TEAM_E_OFF_RATING,TEAM_E_DEF_RATING,TEAM_E_PACE,OPP_E_OFF_RATING,OPP_E_DEF_RATING,OPP_E_PACE
Quenton Jackson,7,0,1,2,1,0,0.0,,,,,,,ATL,Home,False,117.9,115.5,104.2,114.0,116.7,102.6
Quenton Jackson,2,2,2,0,0,0,100.0,,,,,,,TOR,Away,False,117.9,115.5,104.2,109.8,115.8,101.8
Quenton Jackson,2,0,1,0,0,0,0.0,,,,,,,BKN,Home,False,117.9,115.5,104.2,110.4,113.1,99.4
Reggie Jackson,24,11,0,2,0,0,33.33,,,,,,,MEM,Away,False,115.6,110.5,99.1,104.2,111.7,100.7
Reggie Jackson,19,6,1,4,2,0,15.79,,,,,,,SAS,Away,False,115.6,110.5,99.1,107.5,113.8,103.5
Reggie Jackson,20,9,2,1,0,0,40.0,,,,,,,MIN,Home,True,115.6,110.5,99.1,113.1,106.2,99.5
Reggie Jackson,24,9,4,5,1,1,16.67,,,,,,,UTA,Away,False,115.6,110.5,99.1,112.0,117.7,102.2
Reggie Jackson,24,18,5,3,0,0,37.5,22.2,10.6,2.4,3.0,0.6,0.2,ATL,Home,False,115.6,110.5,99.1,114.0,116.7,102.6
Reggie Jackson,22,7,2,3,0,0,27.27,21.8,9.8,2.8,3.2,0.6,0.2,LAC,Away,False,115.6,110.5,99.1,116.1,112.3,99.7
Reggie Jackson,26,9,0,3,0,1,23.08,23.2,10.4,2.6,3.0,0.2,0.4,SAS,Home,False,115.6,110.5,99.1,107.5,113.8,103.5
Reggie Jackson,23,19,3,3,0,0,34.78,23.8,12.4,2.8,3.4,0.2,0.4,CLE,Home,False,115.6,110.5,99.1,112.8,109.9,99.5
Reggie Jackson,37,12,4,10,2,0,24.32,26.4,13.0,2.8,4.4,0.4,0.2,MIN,Home,False,115.6,110.5,99.1,113.1,106.2,99.5
Reggie Jackson,29,11,1,3,1,0,20.69,27.4,11.6,2.0,4.4,0.6,0.2,PHX,Home,False,115.6,110.5,99.1,114.9,111.5,100.8
Reggie Jackson,24,15,1,8,1,0,45.83,27.8,13.2,1.8,5.4,0.8,0.2,MEM,Home,False,115.6,110.5,99.1,104.2,111.7,100.7
Reggie Jackson,29,23,0,5,2,0,62.07,28.4,16.0,1.8,5.8,1.2,0.0,POR,Away,False,115.6,110.5,99.1,105.0,114.5,100.0
Reggie Jackson,13,4,0,4,0,1,30.77,26.4,13.0,1.2,6.0,1.2,0.2,NYK,Home,False,115.6,110.5,99.1,114.1,111.2,97.8
Reggie Jackson,17,2,3,6,1,0,17.65,22.4,11.0,1.0,5.2,1.0,0.2,MIN,Away,False,115.6,110.5,99.1,113.1,106.2,99.5
Reggie Jackson,13,8,0,2,0,0,30.77,19.2,10.4,0.8,5.0,0.8,0.2,DAL,Away,False,115.6,110.5,99.1,115.2,112.6,102.4
Reggie Jackson,14,7,1,3,0,0,28.57,17.2,8.8,0.8,4.0,0.6,0.2,SAS,Away,False,115.6,110.5,99.1,107.5,113.8,103.5
Reggie Jackson,19,9,1,2,0,0,31.58,15.2,6.0,1.0,3.4,0.2,0.2,MIA,Away,False,115.6,110.5,99.1,111.7,109.5,98.5
Reggie Jackson,15,9,1,0,0,0,26.67,15.6,7.0,1.2,2.6,0.2,0.0,TOR,Home,False,115.6,110.5,99.1,109.8,115.8,101.8
Reggie Jackson,9,6,1,2,0,0,33.33,14.0,7.8,0.8,1.8,0.0,0.0,UTA,Home,False,115.6,110.5,99.1,112.0,117.7,102.2
Reggie Jackson,11,4,1,2,0,1,18.18,13.6,7.0,1.0,1.8,0.0,0.2,BOS,Home,False,115.6,110.5,99.1,120.2,109.0,99.5
Reggie Jackson,16,3,2,0,0,0,6.25,14.0,6.2,1.2,1.2,0.0,0.2,PHX,Home,False,115.6,110.5,99.1,114.9,111.5,100.8
Reggie Jackson,11,0,1,2,0,0,0.0,12.4,4.4,1.2,1.2,0.0,0.2,LAL,Away,False,115.6,110.5,99.1,113.6,112.7,103.1
Reggie Jackson,29,6,2,2,1,0,13.79,15.2,3.8,1.4,1.6,0.2,0.2,MIA,Home,True,115.6,110.5,99.1,111.7,109.5,98.5
Reggie Jackson,19,5,1,4,0,0,15.79,17.2,3.6,1.4,2.0,0.2,0.2,SAC,Home,False,115.6,110.5,99.1,113.8,112.9,101.1
Reggie Jackson,16,3,0,2,0,0,12.5,18.2,3.4,1.2,2.0,0.2,0.0,GSW,Away,False,115.6,110.5,99.1,114.7,112.4,101.8
Reggie Jackson,22,9,0,3,0,0,27.27,19.4,4.6,0.8,2.6,0.2,0.0,POR,Away,True,115.6,110.5,99.1,105.0,114.5,100.0
Reggie Jackson,22,11,1,5,1,0,31.82,21.6,6.8,0.8,3.2,0.4,0.0,WAS,Home,False,115.6,110.5,99.1,108.3,116.8,104.9
Reggie Jackson,29,12,5,9,1,0,24.14,21.6,8.0,1.4,4.6,0.4,0.0,SAC,Home,False,115.6,110.5,99.1,113.8,112.9,101.1
Reggie Jackson,22,7,1,3,0,0,13.64,22.2,8.4,1.4,4.4,0.4,0.0,MIL,Away,False,115.6,110.5,99.1,116.0,112.8,102.2
Reggie Jackson,16,8,1,4,1,0,50.0,22.2,9.4,1.6,4.8,0.6,0.0,SAC,Away,True,115.6,110.5,99.1,113.8,112.9,101.1
Reggie Jackson,26,7,4,3,0,0,11.54,23.0,9.0,2.4,4.8,0.6,0.0,LAL,Away,False,115.6,110.5,99.1,113.6,112.7,103.1
Reggie Jackson,21,7,4,1,1,0,14.29,22.8,8.2,3.0,4.0,0.6,0.0,POR,Home,False,115.6,110.5,99.1,105.0,114.5,100.0
Reggie Jackson,24,13,0,3,0,0,29.17,21.8,8.4,2.0,2.8,0.4,0.0,POR,Home,False,115.6,110.5,99.1,105.0,114.5,100.0
Reggie Jackson,30,16,4,3,0,1,33.33,23.4,10.2,2.6,2.8,0.4,0.2,OKC,Away,False,115.6,110.5,99.1,117.0,109.1,102.3
Reggie Jackson,20,9,2,5,0,0,25.0,24.2,10.4,2.8,3.0,0.2,0.2,MIL,Home,False,115.6,110.5,99.1,116.0,112.8,102.2
Reggie Jackson,18,3,3,0,0,0,5.56,22.6,9.6,2.6,2.4,0.2,0.2,PHI,Home,False,115.6,110.5,99.1,113.8,111.0,100.1
Reggie Jackson,24,2,1,3,0,0,4.17,23.2,8.6,2.0,2.8,0.0,0.2,NYK,Away,False,115.6,110.5,99.1,114.1,111.2,97.8
Reggie Jackson,24,13,2,2,2,1,33.33,23.2,8.6,2.4,2.6,0.4,0.4,IND,Away,False,115.6,110.5,99.1,117.9,115.5,104.2
Reggie Jackson,21,3,1,3,0,0,4.76,21.4,6.0,1.8,2.6,0.4,0.2,WAS,Away,False,115.6,110.5,99.1,108.3,116.8,104.9
Reggie Jackson,21,4,2,2,0,0,19.05,21.6,5.0,1.8,2.0,0.4,0.2,BOS,Away,False,115.6,110.5,99.1,120.2,109.0,99.5
Reggie Jackson,20,10,2,2,1,0,30.0,22.0,6.4,1.6,2.4,0.6,0.2,PHI,Away,False,115.6,110.5,99.1,113.8,111.0,100.1
Reggie Jackson,23,9,0,4,1,0,39.13,21.8,7.8,1.4,2.6,0.8,0.2,IND,Home,False,115.6,110.5,99.1,117.9,115.5,104.2
Reggie Jackson,24,12,2,0,1,0,33.33,21.8,7.6,1.4,2.2,0.6,0.0,NOP,Home,False,115.6,110.5,99.1,115.0,110.1,100.2
Reggie Jackson,20,5,0,2,0,0,10.0,21.6,8.0,1.2,2.0,0.6,0.0,UTA,Away,False,115.6,110.5,99.1,112.0,117.7,102.2
Reggie Jackson,21,13,3,9,1,0,38.1,21.6,9.8,1.4,3.4,0.8,0.0,DET,Home,False,115.6,110.5,99.1,107.2,116.0,102.2
Reggie Jackson,17,11,3,3,0,0,35.29,21.0,10.0,1.6,3.6,0.6,0.0,ORL,Home,True,115.6,110.5,99.1,110.6,108.6,99.4
Reggie Jackson,16,2,0,3,0,0,12.5,19.6,8.6,1.6,3.4,0.4,0.0,GSW,Away,False,115.6,110.5,99.1,114.7,112.4,101.8
Reggie Jackson,17,15,4,4,1,0,41.18,18.2,9.2,2.0,4.2,0.4,0.0,CHA,Home,False,115.6,110.5,99.1,107.1,117.0,99.4
Reggie Jackson,15,8,2,3,1,0,20.0,17.2,9.8,2.4,4.4,0.6,0.0,OKC,Home,True,115.6,110.5,99.1,117.0,109.1,102.3
Reggie Jackson,17,9,2,7,1,0,47.06,16.4,9.0,2.2,4.0,0.6,0.0,MEM,Home,False,115.6,110.5,99.1,104.2,111.7,100.7
Reggie Jackson,15,2,0,3,0,0,40.0,16.0,7.2,1.6,4.0,0.6,0.0,GSW,Home,False,115.6,110.5,99.1,114.7,112.4,101.8
Reggie Jackson,15,2,3,4,1,0,20.0,15.8,7.2,2.2,4.2,0.8,0.0,CHA,Away,True,115.6,110.5,99.1,107.1,117.0,99.4
Reggie Jackson,16,8,2,3,0,0,31.25,15.6,5.8,1.8,4.0,0.6,0.0,BKN,Away,False,115.6,110.5,99.1,110.4,113.1,99.4
Reggie Jackson,17,7,2,4,0,0,29.41,16.0,5.6,1.8,4.2,0.4,0.0,TOR,Away,False,115.6,110.5,99.1,109.8,115.8,101.8
Reggie Jackson,19,20,1,4,0,0,52.63,16.4,7.8,1.6,3.6,0.2,0.0,DAL,Home,False,115.6,110.5,99.1,115.2,112.6,102.4
Reggie Jackson,22,7,3,3,0,0,18.18,17.8,8.8,2.2,3.6,0.2,0.0,OKC,Home,False,115.6,110.5,99.1,117.0,109.1,102.3
Reggie Jackson,23,12,0,4,2,0,30.43,19.4,10.8,1.6,3.6,0.4,0.0,BKN,Home,False,115.6,110.5,99.1,110.4,113.1,99.4
Reggie Jackson,32,25,2,6,0,0,40.62,22.6,14.2,1.6,4.2,0.4,0.0,CHI,Away,True,115.6,110.5,99.1,112.4,113.2,98.6
Reggie Jackson,19,12,1,6,0,0,36.84,23.0,15.2,1.4,4.6,0.4,0.0,ATL,Away,False,115.6,110.5,99.1,114.0,116.7,102.6
Reggie Jackson,25,6,3,6,0,0,16.0,24.2,12.4,1.8,5.0,0.4,0.0,HOU,Home,False,115.6,110.5,99.1,111.5,110.7,101.5
Reggie Jackson,19,14,1,3,1,0,47.37,23.6,13.8,1.4,5.0,0.6,0.0,LAC,Away,False,115.6,110.5,99.1,116.1,112.3,99.7
Reggie Jackson,33,20,1,8,1,0,33.33,25.6,15.4,1.6,5.8,0.4,0.0,SAC,Away,True,115.6,110.5,99.1,113.8,112.9,101.1
