TEAM_ID,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_PACE,TEAM_NAME,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PTS_RANK,PLUS_MINUS_RANK
1610612764,108.3,116.8,-8.5,104.9,Washington Wizards,22,20,21,25,24,24,11,28,30
1610612754,117.9,115.5,2.5,104.2,Indiana Pacers,29,27,29,6,4,9,14,15,14
1610612759,107.5,113.8,-6.3,103.5,San Antonio Spurs,19,23,23,8,9,15,3,21,20
1610612747,113.6,112.7,0.9,103.1,Los Angeles Lakers,26,22,27,21,8,25,21,24,13
1610612737,114.0,116.7,-2.6,102.6,Atlanta Hawks,9,16,14,2,27,2,9,5,21
1610612742,115.2,112.6,2.6,102.4,Dallas Mavericks,20,13,16,20,14,17,5,7,16
1610612760,117.0,109.1,7.9,102.3,Oklahoma City Thunder,16,7,12,11,1,1,4,4,1
1610612749,116.0,112.8,3.2,102.2,Milwaukee Bucks,30,1,18,24,11,28,18,14,11
1610612765,107.2,116.0,-8.8,102.2,Detroit Pistons,10,5,5,13,25,12,10,9,12
1610612762,112.0,117.7,-5.8,102.2,Utah Jazz,7,9,3,18,30,30,20,17,27
1610612761,109.8,115.8,-6.0,101.8,Toronto Raptors,6,19,7,5,26,18,25,20,24
1610612744,114.7,112.4,2.3,101.8,Golden State Warriors,5,17,6,4,12,7,16,18,10
1610612745,111.5,110.7,0.9,101.5,Houston Rockets,1,8,1,29,13,9,12,13,5
1610612758,113.8,112.9,0.9,101.1,Sacramento Kings,17,18,20,15,6,23,25,16,15
1610612756,114.9,111.5,3.4,100.8,Phoenix Suns,28,11,23,10,15,29,13,11,19
1610612763,104.2,111.7,-7.5,100.7,Memphis Grizzlies,2,4,2,3,28,6,2,1,4
1610612740,115.0,110.1,5.0,100.2,New Orleans Pelicans,7,26,19,19,17,8,8,22,29
1610612755,113.8,111.0,2.8,100.1,Philadelphia 76ers,24,30,30,30,7,4,28,25,25
1610612757,105.0,114.5,-9.5,100.0,Portland Trail Blazers,3,24,15,27,29,15,7,23,23
1610612746,116.1,112.3,3.9,99.7,LA Clippers,21,15,17,23,23,3,23,19,9
1610612738,120.2,109.0,11.2,99.5,Boston Celtics,15,10,9,17,2,27,6,6,3
1610612739,112.8,109.9,2.9,99.5,Cleveland Cavaliers,17,5,11,9,5,14,27,3,2
1610612750,113.1,106.2,6.9,99.5,Minnesota Timberwolves,14,11,13,14,20,11,15,10,7
1610612751,110.4,113.1,-2.7,99.4,Brooklyn Nets,13,29,28,22,21,19,23,29,26
1610612766,107.1,117.0,-9.9,99.4,Charlotte Hornets,4,21,8,26,22,21,22,30,28
1610612753,110.6,108.6,2.0,99.4,Orlando Magic,11,28,25,28,19,5,1,27,18
1610612743,115.6,110.5,5.0,99.1,Denver Nuggets,12,3,4,1,15,13,17,2,6
1610612741,112.4,113.2,-0.8,98.6,Chicago Bulls,25,2,10,7,18,26,19,8,22
1610612748,111.7,109.5,2.2,98.5,Miami Heat,26,14,22,16,10,20,30,26,17
1610612752,114.1,111.2,2.9,97.8,New York Knicks,22,25,26,12,3,21,29,12,8
